UDCBF 2004-0028,R0.2,,0.28,,16°,50,4,42.800,,,,,
UDCBF 2005-0035,R0.25,,0.35,,16°,50,4,42.800,,,,,
UDCBF 2006-0042,R0.3,,0.42,,16°,50,4,38.400,,,,,
UDCBF 2007-0049,R0.35,,0.49,,16°,50,4,38.400,,,,,
UDCBF 2008-0056,R0.4,,0.56,,16°,50,4,38.400,,,,,
UDCBF 2009-0063,R0.45,,0.63,,16°,50,4,38.400,,,,,
UDCBF 2010-0070,R0.5,,0.7,,16°,50,4,38.400,,,,,
UDCBF 2012-0084,R0.6,,0.84,,16°,50,4,38.400,,,,,
UDCBF 2015-0105,R0.75,,1.05,,16°,50,4,38.400,,,,,
UDCBF 2020-0140,R1,,1.4,,16°,50,4,38.400,,,,,
UDCBF 2025-0175,R1.25,,1.75,,16°,50,4,42.300,,,,,
UDCBF 2030-0210,R1.5,,2.1,,16°,60,6,42.300,,,,,
UDCBF 2040-0280,R2,,2.8,,16°,60,6,42.300,,,,,
UDCBF 2050-0350,R2.5,,3.5,,16°,60,6,42.300,,,,,
UDCBF 2060-0420,R3,,4.2,,―,60,6,42.300,,,,,
UDCLB 2002-0030,R0.1,0.3,0.14,0.18,16°,50,4,39.580,,,,,
UDCLB 2002-0050,R0.1,0.5,0.14,0.18,16°,50,4,39.580,,,,,
UDCLB 2002-0075,R0.1,0.75,0.14,0.18,16°,50,4,39.580,,,,,
UDCLB 2002-0100,R0.1,1,0.14,0.18,16°,50,4,39.580,,,,,
UDCLB 2004-0050,R0.2,0.5,0.28,0.36,16°,50,4,36.080,,,,,
UDCLB 2004-0100,R0.2,1,0.28,0.36,16°,50,4,36.080,,,,,
UDCLB 2004-0150,R0.2,1.5,0.28,0.36,16°,50,4,36.080,,,,,
UDCLB 2004-0200,R0.2,2,0.28,0.36,16°,50,4,36.080,,,,,
UDCLB 2006-0100,R0.3,1,0.42,0.56,16°,50,4,32.410,,,,,
UDCLB 2006-0150,R0.3,1.5,0.42,0.56,16°,50,4,32.410,,,,,
UDCLB 2006-0200,R0.3,2,0.42,0.56,16°,50,4,32.410,,,,,
UDCLB 2006-0300,R0.3,3,0.42,0.56,16°,50,4,32.410,,,,,
